county,state,population,latitude,longitude
Somerset,NJ,344978,40.5635,-74.6163
Rutherford,TN,343727,35.8427,-86.4167
Rockland,NY,337326,41.1525,-74.0242
Cumberland,NC,335207,35.0487,-78.8277
St. Lucie,FL,334682,27.3773,-80.4721
Henrico,VA,333120,37.5380,-77.4059
Howard,MD,332011,39.2507,-76.9312
Weld,CO,331466,40.5548,-104.3925
Spartanburg,SC,330119,34.9309,-81.9908
Boulder,CO,328658,40.0925,-105.3577
Greater Bridgeport,CT,326381,41.2428,-73.2314
Luzerne,PA,325396,41.1770,-75.9892
Durham,NC,325101,36.0360,-78.8766
Lancaster,NE,322063,40.7842,-96.6878
Escambia,FL,321296,30.6690,-87.3630
Fayette,KY,321276,38.0423,-84.4587
Rockingham,NH,315169,42.9875,-71.1254
Albany,NY,315041,42.6002,-73.9736
Northampton,PA,314299,40.7542,-75.3076
Lorain,OH,313101,41.2956,-82.1510
Lubbock,TX,311509,33.6102,-101.8205
McHenry,IL,311133,42.3244,-88.4523
Cumberland,ME,303357,43.8466,-70.3996
Gloucester,NJ,302621,39.7173,-75.1414
Greene,MO,299188,37.2581,-93.3420
St. Louis City,MO,298018,38.6358,-90.2451
Dutchess,NY,296467,41.7652,-73.7429
Clayton,GA,296312,33.5420,-84.3576
Chatham,GA,296266,32.0043,-81.1329
Ottawa,MI,296183,42.9599,-85.9960
Lexington,SC,295934,33.9023,-81.2722
Cleveland,OK,295060,35.2031,-97.3265
Thurston,WA,294272,46.9256,-122.8333
Leon,FL,294128,30.4580,-84.2779
Anchorage,AK,290674,61.1498,-149.1082
Benton,AR,286528,36.3387,-94.2561
Dauphin,PA,286108,40.4155,-76.7794
Winnebago,IL,284591,42.3363,-89.1609
York,SC,282987,34.9748,-81.1845
Ingham,MI,282540,42.5971,-84.3735
Merced,CA,282290,37.1919,-120.7177
San Luis Obispo,CA,281712,35.3871,-120.4044
Southeastern Connecticut,CT,280293,41.5023,-72.1000
Alachua,FL,279729,29.6747,-82.3577
St. Johns,FL,278722,29.9016,-81.4407
Kitsap,WA,275411,47.6127,-122.6762
Atlantic,NJ,274339,39.4778,-74.6610
Frederick,MD,273829,39.4722,-77.3980
St. Joseph,IN,272388,41.6167,-86.2899
Erie,PA,270495,41.9925,-80.0327
Buncombe,NC,269449,35.6112,-82.5301
Washington,MN,268651,45.0388,-92.8838
Santa Cruz,CA,268571,37.0562,-122.0018
Cherokee,GA,268567,34.2440,-84.4762
Brown,WI,268393,44.4525,-88.0037
Webb,TX,267282,27.7611,-99.3315
St. Tammany,LA,266168,30.4103,-89.9584
Madison,IL,265512,38.8297,-89.9049
Weber,UT,262960,41.2698,-111.9134
Kalamazoo,MI,261426,42.2455,-85.5312
Cumberland,PA,261269,40.1636,-77.2655
McLennan,TX,261090,31.5524,-97.2018
Harford,MD,261059,39.5611,-76.3171
Marin,CA,260485,38.0734,-122.7234
St. Clair,IL,256791,38.4703,-89.9284
Yakima,WA,256143,46.4571,-120.7385
Jefferson,TX,254942,29.8841,-94.1629
Forsyth,GA,253225,34.2255,-84.1251
Clay,MO,253085,39.3105,-94.4209
Chesapeake,VA,249377,36.6778,-76.3023
Williamson,TN,248897,35.8938,-86.8986
Washington,AR,247331,35.9791,-94.2156
Hays,TX,245351,30.0579,-98.0312
Warren,OH,243189,39.4277,-84.1668
Lafayette,LA,243175,30.2068,-92.0639
Henry,GA,240853,33.4530,-84.1542
Sussex,DE,240668,38.6606,-75.3900
Union,NC,240109,34.9884,-80.5307
Yavapai,AZ,237830,34.5998,-112.5537
Norfolk,VA,236973,36.8947,-76.2570
Saratoga,NY,236328,43.1074,-73.8639
Caddo,LA,236259,32.5806,-93.8823
Arlington,VA,235845,38.8786,-77.1011
Canyon,ID,235006,43.6251,-116.7093
Smith,TX,234667,32.3750,-95.2692
Brazos,TX,234548,30.6608,-96.3024
Baldwin,AL,233420,30.7277,-87.7226
Lake,OH,232236,41.6963,-81.2373
Tuscaloosa,AL,231558,33.2896,-87.5251
Berkeley,SC,231419,33.1973,-79.9522
Oneida,NY,231055,43.2418,-75.4358
Barnstable,MA,229436,41.7244,-70.2903
Linn,IA,229308,42.0790,-91.5990
Gaston,NC,228972,35.2944,-81.1803
New Hanover,NC,228134,34.2329,-77.8848
Montgomery,AL,228132,32.2203,-86.2076
Mahoning,OH,227979,41.0146,-80.7763
