true,prot,deut,trit
AA678C,747A96,827886,A66B73
81039E,004B9A,004F89,723E43
B2875E,9A8E61,AC885E,B5808A
4F2BA4,00458F,00497C,324B51
EACD04,E7CC0C,FFC24D,F7BDCB
CF7069,928A74,A58464,CF6E75
43065F,002B59,002E4E,3B272A
D8BBEB,B9C2F0,C6C0E8,D2BFCE
14E642,DFC63C,F8BC55,68D6E7
035829,554D29,5D4932,26535A
DB7C59,A19462,B68D55,DD767F
6E895A,8B8057,987B5F,76818C
A87F62,908665,A08161,AA7983
4F1EB9,00458F,004A7B,1D4E54
36EEF8,D5D6EA,D7D3FF,42ECFF
2A52E0,005EC3,0064A7,006B72
80045F,204280,424355,7A2729
AA775F,8B8164,9B7C5E,AB727B
02FA6E,F1D864,FFD098,6AEAFD
584BB0,0057B7,005CA0,3F6067
78B575,B3A56F,C49E7B,86ABB8
41E0BB,D1C6AE,DCC1C4,5ED8E9
E516F2,3181FF,4A85D9,D26269
BF796E,918A75,A3846A,BF767E
730A6D,003F83,314162,6B2D30
5C6BF7,0075F4,007CD4,008691
9BB4C5,ADAEC1,B5AAC6,99B3C1
452C54,2B385B,2F3952,42363A
54C9C5,B8B5B9,BEB1CC,5DC5D5
072212,262317,29211B,152528
48BFF9,9FB0EF,94B1FE,27C5D4
33357E,003E81,004170,1D454B
6D6029,6B612D,785C2F,725A61
234158,3A4056,37405A,22464B
11AD60,A49558,B38F6A,48A2AF
A59EBD,9A9FBD,A39DBC,A09FAC
99DD32,E2C931,FDBE44,B0CDDD
7A28E4,005CBD,0061A3,526168
D22469,686E8A,816B5D,CE3739
BEDF6F,E8D26B,FFC87E,CDD1E1
78F4FD,E0DFF1,E4DCFF,95EFFF
CFF4E5,F2EADF,FFE5EA,D7EFFF
0E768B,666A83,626A8E,007780
999A18,A7941D,BB8C26,A38E99
C6EDF9,E5E4F4,F2DFFD,C6ECFE
9261B8,5173C5,5975B0,857079
23B01B,AB971B,BF8F32,56A2AF
442DCB,004C9C,005186,00575C
01F7A9,E9D89B,FBD0B5,5CEBFE
435A38,5C5438,65513E,4B565D
60C603,C5AE00,DCA52B,7FB6C5
98ED0A,F2D500,FFCD81,B4DBED
B5AB02,BCA706,D49D1A,C09DA9
7A1785,004793,2A4A78,6F3A3E
BA2F5F,626578,766256,B63B3E
E53AA6,607FD0,847E96,DE5359
455596,3D5796,325A93,346068
836B0B,7B6D14,8B6716,88636B
37C0A1,B2AA95,BCA5A9,50B9C8
477DE2,4C7CE1,1F81DF,008C97
431CC4,00458E,004979,004F54
75B550,B6A34C,C99B59,87A8B6
E5B9BA,C7C1BD,DABBB7,E6B6C4
787878,797777,837378,79767F
1D4A12,4B4317,533F1E,2E464C
46D5EE,BCC1E2,BABFF6,42D5E6
A20181,0E54AE,4F5573,9A3336
1E2843,242C45,212D45,1D3034
A474F2,4D88FF,4C8DE8,8D8B96
73E9B5,DFD2A9,EFCABE,87E0F2
4C0408,2B2717,32250B,4D0D0C
65BEB8,B1ADAE,B8A9BD,6BBAC9
87BE53,C1AD4F,D6A55C,98B1BF
48E458,DEC751,F6BD67,77D4E5
3BB798,ABA28D,B49D9F,51B0BE
EBDE55,F4DA55,FFD397,F9CFDF
1483E7,4F7DE2,0083E5,008E98
238E35,897B33,987541,47848E
E63193,677CBC,887A84,E0494D
4E96C0,818CB8,7B8BC2,4299A6
9D79DC,6087E7,638AD4,8B8994
93354B,57565B,655346,913B3E
0695D1,7588C7,648AD4,0099A5
7BEFE3,E0DAD7,E9D5EB,84EAFD
CD5596,717EAE,877C8B,C76067
7A2790,004C9F,295083,6E4348
C713F0,0074F0,007AD4,B06168
91D7BE,D0C7B5,DDC1C4,99D0E1
1F3C3F,3A3A3F,3C3943,253E43
B3F4E2,EDE5DA,FCDFE8,BFEEFF
DBDCBA,E4D8B7,F9D0BC,E1D5E5
22C51C,BFA91B,D5A036,5FB6C4
A8BE20,C9B223,E2A931,B7AFBD
02479E,004999,004E84,005459
EE5015,968527,AA7E00,EF4C50
BF8C31,A69437,BA8C34,C4828C
C71F9B,396AC9,686B8B,BE4448
0F8F94,7F7F8A,807D99,1E8D98
20611D,60551F,6A5129,375B62
2B4DBA,0054AF,005997,006066
3C0B54,002853,002A49,362528
1A56FE,0065D1,006CB3,00747A
694298,2453A5,2C578F,5B545B
AEDD5E,E4CD5A,FEC367,C0CEDE
28B158,AA9951,BA9263,53A5B2
BDAEB4,B2AFB4,C1ABB3,BDABB9
08AF9A,A09A8E,A696A1,34A9B7
4ADCDB,C8C6CE,CDC2E3,55D8EA
79B2B7,A7A6B0,AEA2BA,7AAFBD
