Country,Latitude,Longitude,OOSR_Pre0Primary_Age,OOSR_Primary_Age,OOSR_Lower_Secondary_Age,OOSR_Upper_Secondary_Age,Completion_Rate_Primary,Completion_Rate_Lower_Secondary,Completion_Rate_Upper_Secondary,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Gender
Spain,40.463667,3.74922,5,3,1,1,0,0,0,97,67,0,0,84,75,100,7.9,102.7,88.9,13.96,1
Sri Lanka,7.873054,80.771797,0,3,0,13,99,96,43,0,0,0,0,0,0,99,15.83,100.2,19.6,4.2,1
Sri Lanka,7.873054,80.771797,0,2,0,18,99,94,32,0,0,0,0,0,0,99,15.83,100.2,19.6,4.2,0
Sudan,12.862807,30.217636,60,35,35,50,64,52,28,0,0,0,0,0,0,73,32.18,76.8,16.9,16.53,1
Sudan,12.862807,30.217636,60,31,33,53,66,49,33,0,0,0,0,0,0,73,32.18,76.8,16.9,16.53,0
Suriname,3.919305,56.027783,10,11,11,34,90,58,26,30,0,0,0,0,0,98,18.54,108.8,12.6,7.33,1
Suriname,3.919305,56.027783,12,14,19,42,80,41,18,30,0,0,0,0,0,99,18.54,108.8,12.6,7.33,0
Sweden,60.128161,18.643501,0,0,0,3,0,0,0,98,75,0,0,82,81,0,11.4,126.6,67.0,6.48,1
Sweden,60.128161,18.643501,0,0,0,1,0,0,0,98,75,0,0,82,81,0,11.4,126.6,67.0,6.48,0
Switzerland,46.818188,8.227512,0,0,1,20,0,0,0,0,0,0,0,76,83,0,10.0,105.2,59.6,4.58,1
Switzerland,46.818188,8.227512,1,0,1,16,0,0,0,0,0,0,0,76,83,0,10.0,105.2,59.6,4.58,0
Syria,34.802075,38.996815,60,27,37,66,0,0,0,0,0,0,0,0,0,0,23.69,81.7,40.1,8.37,0
Syria,34.802075,38.996815,61,28,39,66,0,0,0,0,0,0,0,0,0,0,23.69,81.7,40.1,8.37,1
Tajikistan,38.861034,71.276093,88,2,0,0,98,93,63,0,0,0,0,0,0,0,30.76,100.9,31.3,11.02,1
Tajikistan,38.861034,71.276093,87,1,0,0,99,95,80,0,0,0,0,0,0,0,30.76,100.9,31.3,11.02,0
Tanzania,6.369028,34.888822,45,15,0,84,75,31,32,0,0,0,0,0,0,0,36.7,94.2,4.0,1.98,0
Tanzania,6.369028,34.888822,42,12,0,88,84,27,27,0,0,0,0,0,0,0,36.7,94.2,4.0,1.98,1
Thailand,15.870032,100.992541,1,0,0,21,99,92,72,0,0,0,0,40,47,99,10.34,99.8,49.3,0.75,1
Thailand,15.870032,100.992541,1,0,0,21,98,81,59,0,0,0,0,40,47,98,10.34,99.8,49.3,0.75,0
The Bahamas,25.03428,77.39628,0,0,23,29,0,0,0,0,0,0,0,0,0,0,13.97,81.4,15.1,10.36,0
The Bahamas,25.03428,77.39628,0,0,21,24,0,0,0,0,0,0,0,0,0,0,13.97,81.4,15.1,10.36,1
The Gambia,13.443182,15.310139,36,10,0,0,60,48,28,5,0,0,0,0,0,0,38.54,98.0,2.7,9.06,1
The Gambia,13.443182,15.310139,42,19,0,0,64,50,33,5,0,0,0,0,0,0,38.54,98.0,2.7,9.06,0
Togo,8.619543,0.824782,7,4,28,66,76,39,12,19,40,16,20,0,0,0,33.11,123.8,14.5,2.04,1
Togo,8.619543,0.824782,1,2,15,47,83,55,31,19,40,16,20,0,0,0,33.11,123.8,14.5,2.04,0
Tokelau,9.2002,171.8484,20,0,0,53,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Tokelau,9.2002,171.8484,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Tonga,21.178986,175.198242,0,0,6,43,98,65,45,0,0,0,0,0,0,99,24.3,116.3,6.4,1.12,0
Tonga,21.178986,175.198242,0,0,4,33,99,76,56,0,0,0,0,0,0,100,24.3,116.3,6.4,1.12,1
Trinidad and Tobago,10.691803,61.222503,0,0,0,0,0,0,0,80,0,0,0,58,48,0,12.94,106.2,12.0,2.69,0
Trinidad and Tobago,10.691803,61.222503,0,0,0,0,0,0,0,80,0,0,0,58,48,0,12.94,106.2,12.0,2.69,1
Tunisia,33.886917,9.537499,0,0,0,0,97,80,57,47,0,0,0,28,25,0,17.56,115.4,31.7,16.02,1
Tunisia,33.886917,9.537499,0,0,0,0,94,68,40,47,0,0,0,28,25,0,17.56,115.4,31.7,16.02,0
Turkey,38.963745,35.243322,25,5,7,17,98,92,44,0,0,0,57,74,42,0,16.03,93.2,23.9,13.49,1
Turkey,38.963745,35.243322,23,5,6,17,99,96,51,0,0,0,57,74,42,0,16.03,93.2,23.9,13.49,0
Turkmenistan,38.969719,59.556278,0,0,0,0,100,100,95,0,0,0,0,0,0,0,23.83,88.4,8.0,3.91,1
Turkmenistan,38.969719,59.556278,0,0,0,0,100,99,93,0,0,0,0,0,0,0,23.83,88.4,8.0,3.91,0
Turks and Caicos Islands,21.694025,71.797928,19,0,22,29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Turks and Caicos Islands,21.694025,71.797928,0,0,17,35,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Tuvalu,7.109535,177.64933,9,17,32,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Tuvalu,7.109535,177.64933,13,13,27,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Uganda,1.373333,32.290275,0,3,0,0,43,23,15,33,21,0,0,0,0,90,38.14,102.7,4.8,1.84,1
Uganda,1.373333,32.290275,0,6,0,0,39,27,18,33,21,0,0,0,0,89,38.14,102.7,4.8,1.84,0
Ukraine,48.379433,31.16558,0,7,3,4,99,100,97,0,0,0,0,74,64,0,8.7,99.0,82.7,8.88,1
Ukraine,48.379433,31.16558,0,9,4,7,100,100,97,0,0,0,0,74,64,0,8.7,99.0,82.7,8.88,0
United Arab Emirates,23.424076,53.847818,0,8,2,2,0,0,0,68,42,0,0,57,46,0,10.33,108.4,36.8,2.35,0
United Arab Emirates,23.424076,53.847818,0,5,3,2,0,0,0,68,42,0,0,57,46,0,10.33,108.4,36.8,2.35,1
United Kingdom,55.378051,3.435973,0,1,2,4,0,0,0,0,0,0,0,83,81,0,11.0,101.2,60.0,3.85,1
United Kingdom,55.378051,3.435973,3,1,2,5,0,0,0,0,0,0,0,83,81,0,11.0,101.2,60.0,3.85,0
United States,37.09024,95.712891,8,1,1,3,0,0,0,0,0,0,0,81,73,0,11.6,101.8,88.2,14.7,1
United States,37.09024,95.712891,12,1,3,4,0,0,0,0,0,0,0,81,73,0,11.6,101.8,88.2,14.7,0
Uruguay,32.522779,55.765835,2,3,1,15,96,66,48,80,75,59,68,58,49,99,13.86,108.5,63.1,8.73,0
Uruguay,32.522779,55.765835,1,3,0,9,98,73,29,80,75,59,68,58,49,99,13.86,108.5,63.1,8.73,1
Uzbekistan,41.377491,64.585262,55,2,2,15,0,0,0,0,0,0,0,0,0,100,23.3,104.2,10.1,5.92,1
Uzbekistan,41.377491,64.585262,53,0,0,14,0,0,0,0,0,0,0,0,0,100,23.3,104.2,10.1,5.92,0
Vanuatu,15.376706,166.959158,38,7,4,46,0,0,0,0,0,0,0,0,0,97,29.6,109.3,4.7,4.39,1
Vanuatu,15.376706,166.959158,38,8,2,41,0,0,0,0,0,0,0,0,0,96,29.6,109.3,4.7,4.39,0
Vatican City,41.902916,12.453389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Vatican City,41.902916,12.453389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Venezuela,6.42375,66.58973,14,10,13,19,0,0,0,0,0,0,0,0,0,0,17.88,97.2,79.3,8.8,1
Venezuela,6.42375,66.58973,14,10,15,28,0,0,0,0,0,0,0,0,0,0,17.88,97.2,79.3,8.8,0
Vietnam,14.058324,108.277199,0,0,0,0,97,87,61,0,0,55,51,86,81,98,16.75,110.6,28.5,2.01,1
Vietnam,14.058324,108.277199,0,0,0,0,96,81,50,0,0,55,51,86,81,98,16.75,110.6,28.5,2.01,0
Yemen,15.552727,48.516388,96,21,34,68,55,39,23,0,0,0,0,0,0,0,30.45,93.6,10.2,12.91,1
Yemen,15.552727,48.516388,96,10,23,46,70,55,37,0,0,0,0,0,0,0,30.45,93.6,10.2,12.91,0
Zambia,13.133897,27.849332,0,13,0,0,73,50,27,0,0,0,0,5,2,92,36.19,98.7,4.1,11.43,1
Zambia,13.133897,27.849332,0,17,0,0,71,54,33,0,0,0,0,5,2,93,36.19,98.7,4.1,11.43,0
Zimbabwe,19.015438,29.154857,60,0,0,45,86,45,17,20,0,0,0,0,0,0,30.68,109.9,10.0,4.95,0
Zimbabwe,19.015438,29.154857,58,0,0,50,92,53,14,20,0,0,0,0,0,0,30.68,109.9,10.0,4.95,1
